word,translation
Abfallbehälter,"waste receptacle, garbage can, refuse container"
Abfallcontainer,synonym of Müllcontainer
Abfalleimer,rubbish bin
abfallen,"to fall off, to drop off"
Abfallentsorgung,"waste disposal, waste clean-up"
Abfallkorb,"garbage can, recycle bin"
Abfallprodukt,waste product
Abfallstoff,waste product
Abfalltonne,"garbage can, recycle bin"
Abfallverbrennung,waste incineration
Abfallwirtschaft,"sanitation, waste management"
abfangen,"to intercept, to stop (to prevent a strike or projectile from reaching its target)"
Abfangjäger,interceptor aircraft
abfassen,to write down
Abfassung,drafting
abfaulen,to rot off
abfedern,to cushion (a blow)
abfeiern,"to celebrate, praise, love"
abfeimen,"to skim, to clear a liquid from scum"
abfertigen,to make ready for dispatch
Abfertigung,act of finishing
Abfertigungsgebäude,terminal building
Abfertigungsgebühr,clearance fee
Abfertigungsschalter,dispatch counter
abfeuern,"to fire off, to fire (a weapon)"
Abfeuerung,"discharge, firing (as of a gun)"
abfiltern,to filter off (remove by filtration)
abfinden,to pay compensation to
Abfindung,"settlement, compensation"
Abfindungsbrennerei,a distillery that is taxed by the type and amount of produce
abflachen,to flatten
abflauen,"to calm down, abate"
abfliegen,"to take off (from the ground), to fly away"
abfliessen,Switzerland and Liechtenstein standard spelling of abfließen
abfließen,to drain
Abflug,take-off
Abflugbereich,departures area
Abfluggeschwindigkeit,"take-off speed, lift-off speed"
Abflughalle,departure lounge
Abflugzeit,time of departure (of a plane)
Abfluss,drain
Abflusskanal,drain
Abflussleitung,drainpipe
abflusslos,undrained (having no discharge)
Abflussrohr,"drainpipe, waste pipe"
Abfluß,Formerly standard spelling of Abfluss which was deprecated in the spelling reform (Rechtschreibreform) of 1996.
Abfolge,succession (sequence arranged in order)
abfordern,"to demand, to request"
Abfrage,query
abfragen,"to inquire about something, to ask for specific information"
abfretten,to struggle with a very tedious task
abfräsen,"to chamfer, to bevel"
abfrühstücken,to finish
abfucken,"to piss off, to annoy (severely)"
Abfuhr,removal
abfädeln,to trim (threads)
abfällig,"derogatory, disparaging"
abfälschen,to deflect (change the path of a shot or throw by unwittingly touching the ball)
abfärben,to bleed
abführen,to take away (someone in police custody)
Abführmittel,laxative (substance with a laxative effect)
Abführung,"transfer, remittance, surrender (the act of transferring profits or funds from one entity to another, usually under a legal or contractual obligation)"
abfüllen,to fill up
abg.,abbreviation of altbulgarisch
Abgabe,"levy, tax, duty"
Abgabeleistung,delivery power
abgabenfrei,"duty-free, tax-free"
Abgabenfreiheit,tax exemption
abgabenpflichtig,"services, products or purchases which are subject to tax or duty fees"
Abgang,exit
Abgas,"emission, exhaust, exhaust gas, waste gas, exhaust fumes, offgas"
Abgasfahne,waste gas plume
Abgaskatalysator,catalytic converter (in a vehicle)
Abgasklappe,exhaust door
Abgasleitung,exhaust pipe
Abgasskandal,Dieselgate
Abgassonderuntersuchung,exhaust emission test
Abgasstrahl,"jet (of hot exhaust gases), jet exhaust (A collimated stream, spurt or flow of gas from a pressurized container, an engine, etc.)"
Abgasstrom,exhaust stream
Abgastemperatur,exhaust gas temperature
Abgasturbine,exhaust gas turbine
abgebaut,"degraded, decomposed, dismantled"
abgeben,"to give up, relinquish, let go, concede, hand over, etc. (power, money, valuable objects, etc.)"
abgebildet,"depicted, pictured"
abgebrannt,destitute
abgebrochen,broken
abgebrüht,callous and cunning
abgedreht,"crafty, dodgy (of a person)"
abgedroschen,"hackneyed, trite, corny, worn out"
abgeerntet,harvested
abgefackt,pronunciation spelling of abgefuckt
abgefahren,"just left, recently departed"
abgefeimt,"wicked, malevolent"
Abgefeimtheit,"cunning, wiliness"
abgeflacht,flattened
abgefuckt,fucked-up
abgeführt,discharged
abgefüllt,bottled
abgegeben,delivered
abgegossen,decanted
abgegrenzt,"demarcated, delimited, separate"
abgegriffen,worn out by having been touched
abgehackt,"chopped off, hacked off"
abgehalftert,"abandoned, neglected"
abgehen,"to come off, to come loose, to wear off"
abgehender Flug,outbound flight
abgehoben,"out of touch, divorced from reality, rarefied (ignorant of the concerns of the average person, typically due to privilege and/or arrogance)"
abgehärtet,"hardened, hardy"
abgekartet,"put-up, collusive"
abgekartete Sache,put-up affair
abgekartetes Spiel,"put-up job, put-up, stitch-up"
abgeklärt,prudent
abgekämpft,weary
abgekühlt,"cooled, chilled"
abgelaufen,"expired, lapsed, out of date"
abgelegen,remote (distant or otherwise inaccessible)
Abgelegenheit,"solitude, remoteness"
abgelehnt,"rejected, declined"
abgeleitet,derived
abgelöst,detached
abgemacht,agreed
abgemagert,emaciated
abgeneigt,"averse, loath"
abgenutzt,"worn, shabby"
Abgeordnetenhaus,house of representatives / deputies (in parliament)
Abgeordneter,"delegate, assemblyman, representative, Member of Parliament (male or of unspecified gender)"
abgepackt,"packed, packaged"
abgeranzt,"decrepit, run-down"
abgeraten,discouraged
abgereichertes Uran,depleted uranium
abgerissen,"ragged, tattered"
abgerockt,"worn out, run-down"
abgesagt,postponed
Abgesandter,emissary (male or of unspecified gender)
Abgesang,Abgesang (third and final part of the strophe in Minnesang and Meistergesang)
abgeschabt,"shabby, threadbare"
abgeschieden,secluded
Abgeschiedenheit,seclusion
abgeschirmtes Kabel,"screened cable, shielded cable"
abgeschlagen,"severed, cut off"
abgeschlossen,"separate, enclosed"
Abgeschmack,"disgust, bad taste, poor taste, tastelessness"
abgeschmackt,"outrageous, tasteless, vulgar"
abgeschnallt,unstrapped
abgeschrägt,"slanted, beveled"
abgeschrägtes Dodekaeder,snub dodecahedron
abgeschöpft,skimmed
abgesehen,"except (for), apart (from), other (than)"
abgesessen,"dismounted (on foot, not on a vehicle, especially of mechanized infantry)"
abgesichert,"secured, protected"
abgespaced,far out
abgespannt,exhausted
abgesperrt,locked
abgesteckt,"marked, defined, specified"
abgestellt,parked (car)
abgestorben,"dead, necrotic"
abgestrahlt,radiated
abgestufte Integration,"differentiated integration, graduated integration (a flexible model of European integration where different member states participate in different policy areas to varying degrees)"
abgestumpft,"blunted, dulled"
abgetrennt,"detached, severed, separated"
abgewetzt,"scuffed, threadbare, chafed, battered"
abgewinnen,to win something from someone
abgewirtschaftet,rundown
Abgewogenheit,balance
abgeworfen,dropped
abgewöhnen,"to give up, to break (a habit)"
abgezockt,ripped off
abgeändert,"changed, altered"
abgießen,"to drain, to decant"
Abglanz,reflection
abgleichen,"to verify congruence, to but check or collate or also level out"
abgleiten,"to slip off, to slip from something"
Abgott,a false god
abgraben,to dig off
Abgrabung,excavation
abgrenzen,"to delimit, to demarcate"
Abgrenzung,demarcation
Abgrund,"abyss, precipice"
abgrundtief,"very deep, bone-deep (especially of negative emotions)"
abgründig,abysmal
Abguss,"mold, cast"
Abgänger,graduate
abgängig,missing (especially of people)
Abgötterei,idolatry
abgöttisch,adoring
abgünstig,jealous
ABH,abbreviation of Ausländerbehörde
Abh.,abbreviation of Abhandlung
Abh. Berl. Akad.,abbreviation of Abhandlungen der Königlich Preußischen Akademie der Wissenschaften zu Berlin (“Treatises of the Royal Prussian Academy of the Sciences at Berlin”)
abhacken,to chop up with an axe
abhaken,to checkmark
abhalten,"to keep off, away, or out"
abhandeln,"to deal with, cover (a topic)"
abhanden,"gone, lost"
abhandenkommen,"to go missing, to lose"
Abhandlung,treatise (systematic discourse on some subject)
Abhang,"slope, incline"
abhauen,to cut off (with a cutting weapon)
abheben,to lift off
abheilend,healing
abhelfen,"to remedy, to respond to"
Abhilfe,"remedy, relief"
abhobeln,to plane off
abhocken,to squat and then jump off a piece of equipment
abholbereit,"ready for pickup, ready for collection"
abhold,averse
abholen,"to collect, pick up or fetch someone or something"
Abholung,"collection, pickup"
abholzen,"to cut down the trees, to clear of timber."
Abholzung,"extensive cutting of trees: logging, deforestation, clearfelling, clearcutting"
abhorreszieren,to abhor
abhorrieren,to abhor
Abhustemittel,expectorant
abhusten,"to cough up, to expectorate"
abhängen,to depend (as a necessary condition)
abhängig,dependent
Abhängigkeit,dependence
Abhängung,suspension
abhärten,"to harden, to temper"
Abhärtung,"resilience, hardening, induration, toughening up"
abhäuten,to skin (to remove the skin of an animal)
abhören,"to inspect, explore something by listening"
Abhörgerät,wiretapping device
abhörsicher,"secure, bugproof (of rooms or equipment)"
Abhörverbrecher,A person who illegally listens to foreign radio broadcasts
Abi,clipping of Abitur
Abia,a male given name from Hebrew
Abiogenese,abiogenesis
Abiogenesis,abiogenesis
abiotisch,abiotic
abirren,to wander off
Abirrung,aberration
Abisolierzange,wire stripper
Abitur,final exams taken by pupils at the end of their secondary education in Germany and Finland to attain eligibility for all kinds of universities (allgemeine Hochschulreife).
Abiturient,Abiturient
Abiturientin,"female Abiturient (roughly, high-school graduate)"
abiturieren,"to take abitur, to take school leaving examination"
Abiturprüfung,"school leaving examination, matriculation examination"
abjagen,"to take, to snatch away, to steal"
abjekt,abject
Abk.,abbreviation of Abkürzung
abkacken,to fuck up (to do badly at something)
abkanzeln,to rebuke
abkapseln,"to seclude, to shut off"
Abkapselung,encapsulation
abkarten,to secretly prearrange to advance one's own interest
abkaufen,"to buy (from), buy out"
abkehlen,to fillet (to create a rounded or filled corner to)
Abkehr,rejection
abkehren,"to renounce, reject"
abketten,"cast off, bind off"
abklappern,"to go down the list, to canvass, to trawl (to visit locations of interest from a list, systematically and often only briefly)"
Abklatsch,cliché
abklatschen,"to rebound, bounce off with a clapping sound"
abkletzeln,"to pick (at) something, to scratch something off of something (with one's fingers or fingernails, e.g., a scab, a sticker, etc.)"
abklingen,to fade away
Abklingzeit,decay time
abklopfen,"to tap, pat or knock something off of something (e.g., dust from a piece of garment, or plaster off a wall)"
abklären,"to clarify, to clear up"
Abklärung,clarification
abknabbern,to nibble off
abknallen,"to shoot down, to bump off, to pick off"
abknicken,to snap
abknipsen,to clip off
abknöpfen,"to unbutton, to remove by unbuttoning"
abkochen,"to boil down, boil off (boil a liquid in order to reduce it, especially to condense a broth)"
abkommandieren,to detach
Abkomme,descendant
abkommen,"to come from, to derive from"
abkoppeln,to untie
Abkopplung,"disconnection, dissociation, decoupling"
abkotzen,to rant
abkrageln,to kill
abkratzen,"to scrape, to scratch something off of something"
abkriegen,to get
Abkunft,parentage
abkupfern,"to plagiarize, to copy"
abkämmen,to search an area
abkömmlich,dispensable
Abkömmling,descendant
abkönnen,to be able to (with)stand or endure something or someone
abkühlen,"to cool off, to cool down"
Abkühlgeschwindigkeit,rate of cooling
Abkühlung,cooling
abkürzen,to abbreviate (words)
Abkürzung,abbreviation
Abkürzungsdschungel,alphabet soup (overabundance of acronyms and abbreviations)
Abkürzungsverzeichnis,list of abbreviations
Abkürzungszeichen,abbreviation sign
Abl.,abbreviation of Ablöse
abladen,to unload
Abladeplatz,"dumping ground, landfill"
Ablage,filing
ablagern,to deposit
Ablagerung,"deposit, sediment"
Ablaktation,ablactation
ablandig,offshore (moving away from the shore)
Ablass,drain
Ablassbrief,letter of indulgence
ablassen,to drain
Ablasshandel,selling of indulgences
Ablassventil,"bleed valve, drain valve"
Ablation,ablation
Ablativ,the ablative case
ablativisch,ablative
Ablauf,"process, procedure"
Ablaufdatum,expiration date
ablaufen,run out
Ablaut,ablaut (substitution of one root vowel for another)
ablaßen,obsolete spelling of ablassen
Ablaßhandel,Formerly standard spelling of Ablasshandel which was deprecated in the spelling reform (Rechtschreibreform) of 1996.
Ablaßventil,Formerly standard spelling of Ablassventil which was deprecated in the spelling reform (Rechtschreibreform) of 1996.
Ableben,"passing (away), demise, death"
Ablebenswahrscheinlichkeit,probability of death
ablebig,"deceased, dead, having left this life, having passed on"
ablecken,"to lick off, to lick up"
ablegen,to take off
Ableger,"layer, shoot of a plant"
ablehnen,"to decline, refuse, reject, turn down"
ablehnend,"rejecting, refusing, negative"
Ablehnung,rejection
Ableismus,ableism
ableisten,to perform till end
ableistisch,ableist
ableitbar,"derivable, deducible"
ableiten,to derive
Ableitung,derivative (something derived)
Ableitungsmorphem,derivational morpheme
ablenken,to divert
Ablenkung,diversion
Ablenkungsmanöver,diversionary tactic
